,NO2,O3,PM10,SO2,WSR,WDV
2023-01-01 01:00:00,0.0343,0.01,162.0,0.0038,7.3,259.0
2023-01-01 02:00:00,0.0341,0.008,209.0,0.0037,10.0,126.0
2023-01-01 03:00:00,0.0322999999999999,0.008,220.0,0.0036,13.1,90.0
2023-01-01 04:00:00,0.034,0.008,219.0,0.0035,14.6,139.0
2023-01-01 05:00:00,0.0325,0.01,261.0,0.0032,12.3,125.0
2023-01-01 06:00:00,0.0212,0.012,187.0,0.0036,12.8,111.0
2023-01-01 07:00:00,0.0297,0.007,109.0,0.0034,14.2,138.0
2023-01-01 08:00:00,0.0254,0.01,117.0,0.0031,12.9,147.0
2023-01-01 09:00:00,0.013,0.019,93.0,0.0029,9.3,135.0
2023-01-01 10:00:00,0.0114,0.026,82.0,0.003,9.9,115.0
2023-01-01 11:00:00,0.0189,0.034,78.0,0.0044,8.1,97.0
2023-01-01 12:00:00,0.018,0.043,85.0,0.0046,5.6,91.0
2023-01-01 13:00:00,0.0083,0.044,74.0,0.0025,1.1,144.0
2023-01-01 14:00:00,0.0070999999999999,0.046,44.0,0.0025,3.3,262.0
2023-01-01 15:00:00,0.0163999999999999,0.053,40.0,0.0037,7.7,328.0
2023-01-01 16:00:00,0.0192,0.061,43.0,0.0036,11.5,319.0
2023-01-01 17:00:00,0.0243,0.069,54.0,0.0106,14.5,317.0
2023-01-01 18:00:00,0.0264,0.047,95.0,0.0135,9.8,309.0
2023-01-01 19:00:00,0.0434,0.029,63.0,0.0079,1.2,152.0
2023-01-01 20:00:00,0.0384,0.021,77.0,0.0067,8.5,150.0
2023-01-01 21:00:00,0.0313,0.014,79.0,0.004,10.2,148.0
2023-01-01 22:00:00,0.0251,0.014,80.0,0.0047,6.3,333.0
2023-01-01 23:00:00,0.029,0.011,55.0,0.0125,5.8,245.0
2023-01-02 00:00:00,0.0304,0.009,80.0,0.0116999999999999,7.8,306.0
2023-01-02 01:00:00,0.021,0.014,69.0,0.0156,13.1,295.0
2023-01-02 02:00:00,0.0150999999999999,0.016,53.0,0.0053,5.5,249.0
2023-01-02 03:00:00,0.0212,0.01,49.0,0.0033,7.2,190.0
2023-01-02 04:00:00,0.0156,0.012,50.0,0.0026,15.5,129.0
2023-01-02 05:00:00,0.0215,0.008,47.0,0.0023,13.9,105.0
2023-01-02 06:00:00,0.0251,0.006,55.0,0.0022,12.4,89.0
2023-01-02 07:00:00,0.0266999999999999,0.006,65.0,0.0026,9.8,58.0
2023-01-02 08:00:00,0.0285,0.006,87.0,0.0033,9.8,83.0
2023-01-02 09:00:00,0.0387999999999999,0.007,112.0,0.0049,11.4,332.0
2023-01-02 10:00:00,0.0428,0.01,195.0,0.0055,13.8,351.0
2023-01-02 11:00:00,0.0312,0.018,149.0,0.0056,8.0,1.0
2023-01-02 12:00:00,0.0179,0.027,114.0,0.0032,4.6,48.0
2023-01-02 13:00:00,0.0146,0.033,83.0,0.0026,5.1,288.0
2023-01-02 14:00:00,0.01625,0.033,71.5,0.00285,5.4,186.5
2023-01-02 15:00:00,0.0179,0.033,60.0,0.0031,5.7,85.0
