,NO2,O3,PM10,SO2,WSR,WDV
2023-01-01 01:00:00,0.0289,0.009,97.0,0.0034,3.4,336.0
2023-01-01 02:00:00,0.0232,0.011,103.0,0.0034,3.4,3.0
2023-01-01 03:00:00,0.0209,0.011,83.0,0.0032,2.6,315.0
2023-01-01 04:00:00,0.0207,0.009,65.0,0.003,3.9,270.0
2023-01-01 05:00:00,0.0306,0.004,67.0,0.0031,3.4,242.0
2023-01-01 06:00:00,0.0237,0.007,147.0,0.003,3.4,307.0
2023-01-01 07:00:00,0.0136,0.016,84.0,0.0033,7.1,232.0
2023-01-01 08:00:00,0.0123,0.019,43.0,0.0032,6.3,222.0
2023-01-01 09:00:00,0.0149,0.019,36.0,0.0031,3.5,18.0
2023-01-01 10:00:00,0.0124,0.025,41.0,0.0031,4.1,294.0
2023-01-01 11:00:00,0.0095,0.028,44.0,0.0033,4.5,94.0
2023-01-01 12:00:00,0.0091,0.034,33.0,0.0035,4.3,26.0
2023-01-01 13:00:00,0.0209,0.033,41.0,0.006,5.2,58.0
2023-01-01 14:00:00,0.0197,0.047,48.0,0.0099,7.8,86.0
2023-01-01 15:00:00,0.0081,0.054,55.0,0.003,8.7,70.0
2023-01-01 16:00:00,0.0075,0.05,32.0,0.0027,10.8,71.0
2023-01-01 17:00:00,0.0096,0.06,37.0,0.0065,11.6,84.0
2023-01-01 18:00:00,0.0165,0.068,55.0,0.0229,7.9,73.0
2023-01-01 19:00:00,0.017,0.065,75.0,0.018,7.1,55.0
2023-01-01 20:00:00,0.0154,0.052,74.0,0.0136999999999999,3.3,51.0
2023-01-01 21:00:00,0.0198999999999999,0.04,58.0,0.0106,4.3,289.0
2023-01-01 22:00:00,0.0375,0.014,65.0,0.0069,7.4,311.0
2023-01-01 23:00:00,0.025,0.014,93.0,0.0053,4.3,302.0
2023-01-02 00:00:00,0.0303,0.007,67.0,0.0045,3.6,238.0
2023-01-02 01:00:00,0.032,0.006,72.0,0.004,3.5,257.0
2023-01-02 02:00:00,0.0293,0.008,73.0,0.0039,3.4,259.0
2023-01-02 03:00:00,0.0311,0.006,66.0,0.0040999999999999,3.4,240.0
2023-01-02 04:00:00,0.0275,0.008,78.0,0.0045,3.4,264.0
2023-01-02 05:00:00,0.0198,0.009,84.0,0.0038,3.1,236.0
2023-01-02 06:00:00,0.0255,0.007,73.0,0.0047,3.8,232.0
2023-01-02 07:00:00,0.0283,0.004,115.0,0.0046,4.0,195.0
2023-01-02 08:00:00,0.0291,0.004,117.0,0.0055,5.2,198.0
2023-01-02 09:00:00,0.0285,0.005,146.0,0.0054,5.8,182.0
2023-01-02 10:00:00,0.0412,0.005,89.0,0.014,5.9,30.0
2023-01-02 11:00:00,0.0345,0.014,134.0,0.0092,7.0,82.0
2023-01-02 12:00:00,0.0237,0.025,91.0,0.0053,5.3,102.0
2023-01-02 13:00:00,0.0272,0.032,59.0,0.0050999999999999,7.9,79.0
2023-01-02 14:00:00,0.0235,0.041,72.0,0.0046,7.7,88.0
2023-01-02 15:00:00,0.0198999999999999,0.044,77.0,0.004,9.2,101.0
2023-01-02 16:00:00,0.0157,0.041,69.0,0.004,8.4,102.0
2023-01-02 17:00:00,0.0163999999999999,0.038,59.0,0.0042,9.1,94.0
2023-01-02 18:00:00,0.0252,0.027,55.0,0.004,6.1,103.0
2023-01-02 19:00:00,0.0332999999999999,0.017,59.0,0.0039,6.2,129.0
2023-01-02 20:00:00,0.0452,0.004,60.0,0.0037,3.9,241.0
2023-01-02 21:00:00,0.0382999999999999,0.004,61.0,0.0033,3.6,262.0
2023-01-02 22:00:00,0.0402999999999999,0.004,55.0,0.0057,3.5,135.0
2023-01-02 23:00:00,0.042,0.00425,76.0,0.0123,4.0,239.0
2023-01-03 00:00:00,0.0387,0.0045,120.0,0.009,4.3,228.0
2023-01-03 01:00:00,0.0372,0.00475,92.0,0.0070999999999999,5.2,244.0
2023-01-03 02:00:00,0.0344,0.005,98.0,0.0062,4.6,258.0
2023-01-03 03:00:00,0.0321,0.005,86.0,0.0091,4.5,222.0
2023-01-03 04:00:00,0.0316,0.005,93.0,0.0104,4.2,177.0
2023-01-03 05:00:00,0.024,0.009,99.0,0.0083,4.7,210.0
2023-01-03 06:00:00,0.0211,0.008,82.0,0.0081,4.8,191.0
2023-01-03 07:00:00,0.0226999999999999,0.007,90.0,0.0072,4.2,291.0
2023-01-03 08:00:00,0.0292,0.005,98.0,0.0084,5.5,274.0
2023-01-03 09:00:00,0.0313,0.009,106.0,0.0049,4.3,48.0
2023-01-03 10:00:00,0.033,0.009,119.0,0.0091,8.0,107.0
2023-01-03 11:00:00,0.0322,0.013,155.0,0.018,7.7,100.0
2023-01-03 12:00:00,0.0271,0.02,151.0,0.0186999999999999,8.4,82.0
2023-01-03 13:00:00,0.0188,0.028,114.0,0.0096,9.5,67.0
2023-01-03 14:00:00,0.0175,0.037,92.0,0.0034,10.8,57.0
2023-01-03 15:00:00,0.0165,0.046,72.0,0.0038,11.3,54.0
2023-01-03 16:00:00,0.0146,0.05,78.0,0.0035,10.6,56.0
2023-01-03 17:00:00,0.0139,0.052,62.0,0.0035,9.2,106.0
2023-01-03 18:00:00,0.0231,0.041,67.0,0.0047,9.0,75.0
2023-01-03 19:00:00,0.0358,0.016,67.0,0.005,8.9,41.0
2023-01-03 20:00:00,0.0254,0.018,73.0,0.006,9.0,45.0
2023-01-03 21:00:00,0.0347,0.008,57.0,0.0062,2.9,253.0
2023-01-03 22:00:00,0.0399,0.004,53.0,0.0068,3.3,236.0
2023-01-03 23:00:00,0.0405,0.004,66.0,0.0053,3.1,187.0
2023-01-04 00:00:00,0.0397999999999999,0.004,66.0,0.0052,2.6,26.0
2023-01-04 01:00:00,0.0387999999999999,0.0045,55.0,0.0046,4.1,251.0
