,NO2,O3,PM10,SO2,WSR,WDV
2023-01-01 01:00:00,0.038,0.008,267.0,0.0049,2.2,310.0
2023-01-01 02:00:00,0.0357,0.008,320.0,0.0055,2.7,270.0
2023-01-01 03:00:00,0.0346,0.006,361.0,0.0052,3.2,271.0
2023-01-01 04:00:00,0.0318,0.006,166.0,0.0050999999999999,2.5,260.0
2023-01-01 05:00:00,0.0322,0.005,94.0,0.0047,3.7,274.0
2023-01-01 06:00:00,0.0271,0.006,76.0,0.0045,2.9,269.0
2023-01-01 07:00:00,0.0259,0.005,61.0,0.0042,1.6,261.0
2023-01-01 08:00:00,0.0222,0.006,64.0,0.0040999999999999,3.3,261.0
2023-01-01 09:00:00,0.0235,0.007,48.0,0.0048,2.3,281.0
2023-01-01 10:00:00,0.0245,0.016,53.0,0.0056,1.3,359.0
2023-01-01 11:00:00,0.0132,0.023,40.0,0.0069,0.4,58.0
2023-01-01 12:00:00,0.009,0.03,34.0,0.0049,3.2,139.0
2023-01-01 13:00:00,0.0064,0.035,23.0,0.0037,4.5,95.0
2023-01-01 14:00:00,0.0088,0.037,15.0,0.004,7.9,98.0
2023-01-01 15:00:00,0.0116999999999999,0.043,16.0,0.0054,11.5,113.0
2023-01-01 16:00:00,0.009,0.043,32.0,0.0042,10.8,104.0
2023-01-01 17:00:00,0.0105,0.041,28.0,0.004,9.7,116.0
2023-01-01 18:00:00,0.0139,0.035,24.0,0.0040999999999999,6.9,127.0
2023-01-01 19:00:00,0.0243,0.036,27.0,0.0079,5.2,148.0
2023-01-01 20:00:00,0.0291,0.037,138.0,0.0118,5.7,162.0
2023-01-01 21:00:00,0.0462,0.02,78.0,0.0111,0.9,245.0
2023-01-01 22:00:00,0.0487999999999999,0.015,91.0,0.0098,2.0,230.0
2023-01-01 23:00:00,0.0564,0.007,85.0,0.0088,1.7,324.0
2023-01-02 00:00:00,0.0531,0.005,106.0,0.0066,1.3,282.0
2023-01-02 01:00:00,0.047,0.004,90.0,0.0058,2.4,307.0
2023-01-02 02:00:00,0.0382999999999999,0.004,88.0,0.0050999999999999,2.5,281.0
2023-01-02 03:00:00,0.0348,0.006,72.0,0.0048,2.8,305.0
2023-01-02 04:00:00,0.0261,0.011,72.0,0.0050999999999999,3.2,278.0
2023-01-02 05:00:00,0.0313,0.006,56.0,0.0066,3.9,281.0
2023-01-02 06:00:00,0.0241,0.01,60.0,0.0074,3.1,287.0
2023-01-02 07:00:00,0.0268,0.007,51.0,0.0063,9.7,296.0
2023-01-02 08:00:00,0.0231,0.008,51.0,0.0055,9.4,294.0
2023-01-02 09:00:00,0.0229,0.01,68.0,0.0055,3.4,257.0
2023-01-02 10:00:00,0.031,0.009,55.0,0.0059,2.5,287.0
2023-01-02 11:00:00,0.0314,0.012,108.0,0.0089,1.0,16.0
2023-01-02 12:00:00,0.0423,0.015,99.0,0.0198999999999999,5.8,97.0
