,NO2,O3,PM10,SO2,WSR,WDR
2023-01-01 01:00:00,0.0181,0.0049,92.0,0.0028,3.6,254.0
2023-01-01 02:00:00,0.0172,0.0047,133.0,0.0028,4.1,250.0
2023-01-01 03:00:00,0.017,0.0044,115.0,0.0029,4.4,246.0
2023-01-01 04:00:00,0.0181,0.0047,114.0,0.0029,5.1,264.0
2023-01-01 05:00:00,0.0205,0.0052,100.0,0.0054,4.8,262.0
2023-01-01 06:00:00,0.0191,0.0064,115.0,0.0035,6.0,249.0
2023-01-01 07:00:00,0.0169,0.0088,101.0,0.0070999999999999,5.6,276.0
2023-01-01 08:00:00,0.0144,0.0119,72.0,0.0088,6.9,265.0
2023-01-01 09:00:00,0.0118,0.0189,56.0,0.0050999999999999,8.6,256.0
2023-01-01 10:00:00,0.0095,0.0294,48.0,0.0047,9.8,257.0
2023-01-01 11:00:00,0.0096,0.0386,40.0,0.0034,7.7,270.0
2023-01-01 12:00:00,0.0092,0.0474,46.0,0.0028,6.2,266.0
2023-01-01 13:00:00,0.0135,0.0587,39.0,0.0034,5.8,218.0
2023-01-01 14:00:00,0.0116,0.0659,43.0,0.0035,6.6,91.0
2023-01-01 15:00:00,0.0108,0.0732,36.0,0.0033,10.2,78.0
2023-01-01 16:00:00,0.0093,0.068,36.0,0.0032,15.7,74.0
2023-01-01 17:00:00,0.0093,0.0682,29.0,0.0038,16.1,78.0
2023-01-01 18:00:00,0.0096,0.0629,35.0,0.0045,9.6,78.0
2023-01-01 19:00:00,0.0115,0.0363,41.0,0.0031,6.3,72.0
2023-01-01 20:00:00,0.016,0.0249,46.0,0.0031,5.1,75.0
2023-01-01 21:00:00,0.0115,0.0256,47.0,0.0027,5.1,92.0
2023-01-01 22:00:00,0.0096999999999999,0.0247,45.0,0.0027,5.8,97.0
2023-01-01 23:00:00,0.0109,0.0226,38.0,0.00265,5.8,92.0
2023-01-02 00:00:00,0.0158,0.02,40.0,0.0026,3.8,77.0
2023-01-02 01:00:00,0.0096,0.0215,46.0,0.0027,5.6,68.0
2023-01-02 02:00:00,0.0087,0.0176,33.0,0.0027,2.5,44.0
2023-01-02 03:00:00,0.0076,0.0147,34.0,0.0025,2.6,45.0
2023-01-02 04:00:00,0.011,0.0084,31.0,0.0024,4.7,252.0
2023-01-02 05:00:00,0.0136,0.0062,38.0,0.0023,3.8,254.0
2023-01-02 06:00:00,0.0143,0.0045,40.0,0.0023,4.3,243.0
2023-01-02 07:00:00,0.0174,0.0040999999999999,42.0,0.0037,4.8,272.0
2023-01-02 08:00:00,0.016,0.0043,68.0,0.0034,4.2,246.0
2023-01-02 09:00:00,0.0173,0.0057,62.0,0.0032,3.6,80.0
2023-01-02 10:00:00,0.0163999999999999,0.0132,68.0,0.003,3.9,106.0
