,NO2,O3,PM10,SO2,WSR,WDR
2023-01-01 01:00:00,0.0288,0.003,246.0,0.0029,65.3,95.0
2023-01-01 02:00:00,0.0268,0.003,239.0,0.0032,60.9,90.0
2023-01-01 03:00:00,0.024,0.002,275.0,0.0023,58.1,84.0
2023-01-01 04:00:00,0.0222,0.002,189.0,0.0018,61.4,87.0
2023-01-01 05:00:00,0.0211,0.003,103.0,0.0018,62.9,88.0
2023-01-01 06:00:00,0.0139,0.005,85.0,0.0017,62.2,90.0
2023-01-01 07:00:00,0.0147,0.007,57.0,0.0018,64.1,96.0
2023-01-01 08:00:00,0.0138,0.009,45.0,0.0017,64.4,98.0
2023-01-01 09:00:00,0.0094,0.018,40.0,0.0019,64.1,106.0
2023-01-01 10:00:00,0.0077,0.027,41.0,0.0019,62.9,113.0
2023-01-01 11:00:00,0.0068,0.034,70.0,0.0017,63.2,121.0
2023-01-01 12:00:00,0.0055,0.04,37.0,0.0013,64.5,127.0
2023-01-01 13:00:00,0.0073,0.047,29.0,0.0016,35.7,64.0
2023-01-01 14:00:00,0.0086,0.051,32.0,0.0018,20.6,40.0
2023-01-01 15:00:00,0.0076,0.05,20.0,0.0034,26.7,50.0
2023-01-01 16:00:00,0.0091,0.052,27.0,0.0023,26.4,49.0
2023-01-01 17:00:00,0.0101,0.065,30.0,0.0018,22.5,42.0
2023-01-01 18:00:00,0.016,0.09,41.0,0.0397999999999999,20.3,35.0
2023-01-01 19:00:00,0.0144,0.078,76.0,0.0357,19.0,22.0
2023-01-01 20:00:00,0.0118,0.066,81.0,0.0134,18.8,18.0
2023-01-01 21:00:00,0.0118,0.047,70.5,0.0074,20.0,16.0
2023-01-01 22:00:00,0.0067,0.031,60.0,0.0032,20.6,13.0
2023-01-01 23:00:00,0.015,0.017,43.0,0.0034,30.3,49.0
2023-01-02 00:00:00,0.0157,0.013,39.0,0.0031,28.1,42.0
2023-01-02 01:00:00,0.0168,0.011,44.0,0.0031,31.5,45.0
2023-01-02 02:00:00,0.0166,0.011,43.0,0.0025,54.5,76.0
2023-01-02 03:00:00,0.0177,0.005,43.0,0.002,67.2,80.0
2023-01-02 04:00:00,0.0143,0.007,44.0,0.0016,71.0,73.0
2023-01-02 05:00:00,0.0147,0.009,52.0,0.0015,67.6,85.0
2023-01-02 06:00:00,0.0138,0.012,45.0,0.0016,52.6,79.0
2023-01-02 07:00:00,0.0096,0.015,65.0,0.0011,61.9,105.0
2023-01-02 08:00:00,0.013,0.011,62.0,0.0011,62.1,107.0
2023-01-02 09:00:00,0.0182,0.006,74.0,0.0026,58.7,101.0
2023-01-02 10:00:00,0.0134,0.015,82.0,0.0017,64.8,117.0
2023-01-02 11:00:00,0.0186999999999999,0.016,67.0,0.0038,21.7,36.0
