,NO,NO2,O3,PM10,PM2.5,WSR,WDV
2023-01-01 02:00:00,38.7,28.8,3.0,117.0,75.12,3.7,278.0
2023-01-01 03:00:00,60.5,29.1,3.0,135.0,82.81,3.6,197.0
2023-01-01 04:00:00,42.3,25.7,3.333333333333333,132.0,59.56,4.9,271.0
2023-01-01 05:00:00,10.2,23.1,3.6666666666666665,96.0,33.58,6.8,284.0
2023-01-01 06:00:00,7.8,22.5,4.0,59.0,34.65,8.4,286.0
2023-01-01 07:00:00,5.4,15.4,10.0,61.0,24.32,10.0,287.0
2023-01-01 08:00:00,5.1,12.4,13.0,47.0,14.34,11.0,283.0
2023-01-01 09:00:00,6.9,13.5,16.0,27.0,8.14,9.0,280.0
2023-01-01 10:00:00,8.5,13.1,17.0,21.0,7.81,5.3,288.0
2023-01-01 11:00:00,7.7,12.8,24.0,20.0,7.09,4.3,271.0
2023-01-01 12:00:00,7.6,16.1,31.0,22.0,9.72,5.4,39.0
2023-01-01 13:00:00,4.8,15.4,53.0,30.0,19.44,7.2,82.0
2023-01-01 14:00:00,3.5,8.4,54.0,48.0,13.93,8.3,76.0
2023-01-01 15:00:00,3.5,7.9,51.0,30.0,11.83,11.8,106.0
2023-01-01 16:00:00,3.7,9.0,47.0,29.0,11.25,13.0,118.0
2023-01-01 17:00:00,3.4,13.3,60.0,41.0,20.7,12.6,123.0
2023-01-01 18:00:00,3.3,14.5,77.0,61.0,30.91,17.8,103.0
2023-01-01 19:00:00,3.3,13.2,69.0,87.0,26.09,15.8,92.0
2023-01-01 20:00:00,3.4,25.5,43.0,63.0,26.49,7.8,160.0
2023-01-01 21:00:00,3.9,20.8,29.0,70.0,23.19,10.7,108.0
2023-01-01 22:00:00,7.3,39.2,13.0,55.0,25.92,5.7,238.0
2023-01-01 23:00:00,8.1,34.4,13.0,67.0,22.15,5.6,255.0
2023-01-02 00:00:00,11.0,36.8,4.0,57.0,24.95,4.9,274.0
2023-01-02 01:00:00,14.9,32.0,4.0,68.0,23.62,4.1,195.0
2023-01-02 02:00:00,7.9,25.5,6.0,58.0,21.6,3.1,239.0
2023-01-02 03:00:00,7.5,26.4,5.0,51.0,23.8,5.9,265.0
2023-01-02 04:00:00,4.4,26.8,6.0,53.0,26.74,10.3,285.0
2023-01-02 05:00:00,4.9,24.1,8.0,62.0,25.44,7.8,277.0
2023-01-02 06:00:00,12.4,24.4,5.0,59.0,25.99,5.0,284.0
2023-01-02 07:00:00,40.7,25.6,3.0,62.0,27.41,6.0,289.0
2023-01-02 08:00:00,36.2,23.9,6.0,82.0,16.29,8.8,274.0
2023-01-02 09:00:00,26.5,26.7,6.0,70.0,18.65,7.7,100.0
2023-01-02 10:00:00,35.5,32.4,8.0,74.0,25.33,7.1,67.0
2023-01-02 11:00:00,20.6,29.2,17.0,111.0,23.83,5.5,223.0
2023-01-02 12:00:00,9.6,22.0,29.0,83.0,21.82,7.8,88.0
2023-01-02 13:00:00,6.7,19.0,38.0,85.0,18.73,7.1,95.0
2023-01-02 14:00:00,6.6,19.8,43.0,71.0,19.56,8.9,111.0
2023-01-02 15:00:00,5.1,15.3,45.0,73.0,14.12,11.2,125.0
2023-01-02 16:00:00,4.7,13.7,42.0,65.0,16.48,10.1,113.0
2023-01-02 17:00:00,5.7,20.5,33.0,56.0,13.52,5.2,128.0
2023-01-02 18:00:00,19.0,39.7,13.0,57.0,13.71,4.9,169.0
2023-01-02 19:00:00,30.3,42.8,6.0,73.0,12.61,5.2,215.0
2023-01-02 20:00:00,66.2,44.7,3.0,70.0,15.76,4.8,229.0
2023-01-02 21:00:00,91.6,39.7,3.0,78.0,17.39,4.3,254.0
2023-01-02 22:00:00,98.4,37.4,3.0,92.0,18.9,3.6,280.0
