,NO,NO2,O3,PM10,PM2.5,WSR,WDV
2023-01-01 02:00:00,63.9,41.5,7.0,723.0,400.0,2.5,4.0
2023-01-01 03:00:00,57.2,42.3,6.0,473.0,349.0,1.6,330.0
2023-01-01 04:00:00,41.9,39.9,5.0,372.0,260.0,4.1,343.0
2023-01-01 05:00:00,16.5,35.1,6.0,285.0,157.0,5.0,334.0
2023-01-01 06:00:00,46.3,36.2,5.0,173.0,195.0,4.0,264.0
2023-01-01 07:00:00,36.3,34.7,4.0,212.0,90.0,4.4,270.0
2023-01-01 08:00:00,39.8,32.9,5.0,125.0,110.0,2.3,279.0
2023-01-01 09:00:00,34.8,37.9,6.0,144.0,100.0,0.7,82.0
2023-01-01 10:00:00,22.2,34.4,11.0,146.0,69.0,1.9,218.0
2023-01-01 11:00:00,10.8,25.6,21.0,114.0,35.0,3.5,284.0
2023-01-01 12:00:00,10.6,32.0,34.0,88.0,47.0,1.7,104.0
2023-01-01 13:00:00,7.0,21.3,43.0,92.0,30.0,2.6,221.0
2023-01-01 14:00:00,5.9,15.2,43.0,71.0,14.0,4.0,184.0
2023-01-01 15:00:00,5.5,11.0,47.0,49.0,11.0,6.3,165.0
2023-01-01 16:00:00,6.7,15.7,55.0,40.0,21.0,9.4,155.0
2023-01-01 17:00:00,12.9,25.6,68.0,65.0,31.0,12.9,145.0
2023-01-01 18:00:00,4.9,22.0,66.0,98.0,39.0,10.7,147.0
2023-01-01 19:00:00,5.5,32.2,46.0,90.0,45.0,7.8,157.0
2023-01-01 20:00:00,6.6,44.4,28.0,106.0,61.0,7.4,129.0
2023-01-01 21:00:00,5.6,18.2,21.0,123.0,29.0,10.6,135.0
2023-01-01 22:00:00,6.6,25.5,12.0,81.0,33.0,4.8,106.0
2023-01-01 23:00:00,4.6,24.0,16.0,79.0,32.0,3.4,90.0
2023-01-02 00:00:00,4.6,22.2,17.0,74.0,31.0,6.5,120.0
2023-01-02 01:00:00,4.9,28.5,10.0,76.0,36.0,4.5,71.0
2023-01-02 02:00:00,4.4,24.0,11.0,82.0,31.0,3.7,42.0
2023-01-02 03:00:00,4.8,27.0,6.0,67.0,27.0,4.1,360.0
2023-01-02 04:00:00,3.6,22.6,8.0,56.0,28.0,5.0,321.0
2023-01-02 05:00:00,5.5,22.8,7.0,52.0,33.0,3.9,319.0
2023-01-02 06:00:00,9.9,25.3,5.0,54.0,32.0,2.2,290.0
2023-01-02 07:00:00,23.8,26.5,5.0,59.0,30.0,4.3,248.0
2023-01-02 08:00:00,79.3,30.8,5.0,66.0,37.0,4.2,241.0
2023-01-02 09:00:00,102.1,37.7,7.5,102.0,46.0,2.8,150.0
2023-01-02 10:00:00,48.4,38.4,10.0,154.0,40.0,2.5,153.0
2023-01-02 11:00:00,23.1,33.5,18.0,127.0,38.0,3.5,197.0
2023-01-02 12:00:00,14.9,23.6,26.0,163.33333333333334,23.0,2.9,153.0
2023-01-02 13:00:00,6.9,19.0,35.0,199.66666666666669,16.0,4.4,25.0
2023-01-02 14:00:00,7.6,12.3,34.0,236.0,10.0,3.4,69.0
2023-01-02 15:00:00,9.3,13.8,35.0,67.0,10.0,5.8,159.0
2023-01-02 16:00:00,6.8,20.0,45.0,73.0,15.0,10.1,176.0
2023-01-02 17:00:00,6.9,20.7,38.0,81.0,13.0,8.0,174.0
2023-01-02 18:00:00,8.2,37.1,25.0,76.0,18.0,6.6,175.0
2023-01-02 19:00:00,22.4,59.7,11.0,94.0,29.0,1.1,228.0
